betId,user_id,event_id,amount,odds,outcome
434,gm5607,A183,234,2.81,0
435,gm2424,A147,397,2.45,0
436,gm7371,A28,886,2.11,0
437,gm5249,A179,734,2.59,1
438,gm1066,A81,711,2.41,1
439,gm1866,A30,469,2.53,1
440,gm4549,A3,734,2.22,1
441,gm1036,A119,643,2.39,1
442,gm9148,A28,41,2.58,1
443,gm639,A33,368,2.26,0
444,gm7544,A39,346,2.4,0
445,gm8317,A146,835,2.56,1
446,gm5066,A44,997,2.3,1
447,gm2277,A25,967,2.97,1
448,gm9654,A14,558,2.4,1
449,gm9087,A90,150,2.06,1
450,gm997,A142,933,2.81,0
451,gm1683,A146,647,2.7,0
452,gm6934,A186,78,2.54,0
453,gm3816,A84,386,2.08,1
454,gm5454,A125,105,2.16,0
455,gm9948,A195,282,2.86,0
456,gm9706,A52,250,2.25,1
457,gm1134,A185,547,2.15,0
458,gm5261,A120,568,2.55,0
459,gm7491,A72,812,2.88,1
460,gm1764,A154,61,2.84,0
461,gm9947,A41,973,2.8,0
462,gm262,A66,476,2.52,0
463,gm17,A62,89,2.46,1
464,gm739,A143,612,2.92,0
465,gm4926,A155,671,2.03,1
466,gm9358,A98,384,2.43,1
467,gm1707,A67,981,2.53,1
468,gm4764,A42,311,2.31,1
469,gm7151,A16,300,2.03,1
470,gm4785,A177,248,2.48,1
471,gm368,A8,428,2.03,0
472,gm5143,A54,312,2.11,1
473,gm7827,A116,353,2.8,1
474,gm9535,A125,316,2.4,0
475,gm9139,A25,359,2.7,1
476,gm5864,A111,842,2.01,0
477,gm1905,A60,589,2.13,1
478,gm4444,A49,366,2.01,1
479,gm8908,A35,284,2.48,1
480,gm738,A63,657,2.87,1
481,gm8880,A128,829,2.01,1
482,gm4204,A5,767,2.29,1
483,gm5625,A60,363,2.46,1
484,gm6968,A54,443,2.07,0
485,gm6572,A43,939,2.11,0
486,gm3397,A49,290,2.55,0
487,gm8312,A140,588,2.38,1
488,gm3640,A182,470,2.75,1
489,gm8612,A15,27,2.35,1
490,gm9816,A68,546,2.46,0
491,gm2109,A91,185,2.39,0
492,gm9697,A167,708,2.5,0
493,gm6805,A195,572,2.83,1
494,gm1168,A124,146,2.91,0
495,gm5377,A139,896,2.66,1
496,gm8665,A187,233,2.37,0
497,gm1470,A195,980,2.26,1
498,gm7706,A147,135,2.18,0
499,gm2550,A18,243,2.73,1
500,gm9993,A153,922,2.8,1
501,gm5527,A161,517,2.29,1
502,gm1690,A21,527,2.19,0
503,gm1232,A44,868,2.01,1
504,gm8356,A55,467,2.49,1
505,gm6218,A186,570,2.66,0
506,gm6544,A29,625,2.86,0
507,gm4544,A70,570,2.2,0
508,gm7825,A191,385,2.85,0
509,gm690,A119,53,2.72,0
510,gm9265,A66,718,2.22,1
511,gm3966,A129,489,2.4,1
512,gm1512,A87,117,2.7,0
513,gm3787,A101,267,2.97,0
514,gm605,A44,117,2.27,1
515,gm8169,A84,273,2.79,1
516,gm5019,A57,276,2.76,0
517,gm8684,A163,652,2.42,0
518,gm3776,A74,931,2.14,0
519,gm8491,A48,719,2.94,0
520,gm2607,A57,309,2.53,0
521,gm4567,A107,41,2.3,1
522,gm7791,A27,85,2.87,1
523,gm8030,A28,969,2.33,0
524,gm7635,A196,743,2.6,1
525,gm2009,A79,35,2.28,0
526,gm4946,A143,71,2.13,1
527,gm8241,A10,931,2.68,1
528,gm4792,A44,546,2.81,0
529,gm7897,A74,517,2.92,0
530,gm9984,A36,200,2.84,1
531,gm7201,A175,642,2.04,1
532,gm5246,A114,404,2.76,1
533,gm1881,A136,519,2.35,1
534,gm2939,A35,745,2.57,0
535,gm4618,A141,394,2.37,1
536,gm5652,A29,373,2.63,0
537,gm7,A93,602,2.94,0
538,gm8969,A138,583,2.1,0
539,gm3258,A167,452,2.07,0
540,gm6666,A12,342,2.29,1
541,gm1091,A124,432,2.33,0
542,gm7612,A27,193,2.18,1
543,gm1491,A95,489,2.43,0
544,gm6365,A50,622,2.89,1
545,gm2406,A127,274,2.55,0
546,gm2658,A125,928,2.43,1
547,gm9687,A74,287,2.83,0
548,gm1945,A137,52,2.62,0
549,gm5864,A18,955,2.68,0
550,gm8862,A140,420,2.57,0
551,gm5187,A127,576,2.39,0
552,gm9155,A174,929,2.58,0
553,gm3701,A37,547,2.79,0
554,gm9004,A132,200,2.75,1
555,gm2963,A158,315,2.33,0
556,gm7642,A177,902,2.55,1
557,gm8363,A111,100,2.43,1
558,gm6125,A11,725,2.76,1
559,gm2425,A44,510,2.42,1
560,gm9925,A130,909,2.76,1
561,gm4374,A178,140,2.03,0
562,gm1532,A99,574,2.03,1
563,gm7476,A52,830,2.4,1
564,gm1368,A159,834,2.14,0
565,gm141,A15,123,2.68,0
566,gm6243,A52,134,2.9,0
567,gm8140,A148,717,2.44,1
568,gm7254,A85,727,2.78,0
569,gm5404,A31,114,2.14,0
570,gm4100,A68,768,2.23,1
571,gm6661,A105,118,2.88,0
572,gm6068,A79,414,2.2,1
573,gm9700,A64,748,2.52,0
574,gm4085,A80,652,2.1,0
575,gm164,A142,630,2.01,1
576,gm4899,A142,881,2.14,0
577,gm4886,A159,861,2.15,1
578,gm1504,A87,146,2.6,0
579,gm1048,A115,960,2.86,0
580,gm7699,A50,417,2.57,1
581,gm5820,A198,480,2.73,0
582,gm921,A195,587,2.28,1
583,gm2107,A182,25,2.26,1
584,gm1676,A134,716,2.84,0
585,gm1831,A198,382,2.05,0
586,gm6538,A192,499,2.23,0
587,gm5050,A109,150,2.62,1
588,gm1063,A47,220,2.69,0
589,gm9157,A168,778,2.85,1
590,gm8348,A30,98,2.26,0
591,gm1126,A179,872,2.45,1
592,gm1466,A43,141,2.12,1
593,gm1794,A32,437,2.45,0
594,gm1623,A65,867,2.78,1
595,gm8081,A34,140,2.77,0
596,gm5569,A5,408,2.49,1
597,gm5497,A106,421,2.93,1
598,gm75,A161,484,2.32,1
599,gm9387,A105,210,2.24,1
600,gm3228,A98,368,2.09,1
601,gm9784,A23,801,2.78,0
602,gm4511,A143,876,2.13,1
603,gm3989,A21,216,2.04,1
604,gm5792,A198,165,2.67,1
605,gm4400,A142,555,2.21,1
606,gm5515,A60,353,2.14,0
607,gm4891,A50,500,2.97,1
608,gm5713,A189,129,2.42,1
609,gm2920,A181,61,2.14,1
610,gm6197,A52,475,2.71,1
611,gm3872,A11,303,2.88,1
612,gm6684,A13,245,2.32,1
613,gm8490,A65,58,2.41,0
614,gm9236,A38,926,2.06,0
615,gm1570,A52,299,2.5,1
616,gm7750,A142,602,2.53,0
617,gm4118,A83,769,2.99,0
618,gm882,A119,627,2.8,1
619,gm3266,A43,874,2.88,0
620,gm8202,A163,814,2.35,1
621,gm1689,A199,353,2.6,1
622,gm5543,A10,727,2.28,0
623,gm7341,A187,196,2.1,0
624,gm9830,A161,697,2.47,0
625,gm9061,A68,844,2.16,0
626,gm5385,A52,269,2.5,0
627,gm8578,A182,483,2.57,1
628,gm6399,A152,427,2.83,1
629,gm3095,A63,516,2.23,1
630,gm461,A181,349,2.97,0
631,gm7591,A104,388,2.37,1
632,gm8040,A109,212,2.59,1
633,gm9528,A44,477,2.46,0
634,gm6225,A129,444,2.7,0
635,gm4435,A60,170,2.49,1
636,gm2809,A101,457,2.29,1
637,gm7302,A109,56,2.22,1
638,gm3491,A190,338,2.24,0
639,gm1152,A123,315,2.18,1
640,gm239,A160,628,2.2,1
641,gm6590,A170,861,2.77,1
642,gm9370,A83,982,2.78,0
643,gm1374,A31,862,2.03,0
644,gm7480,A38,778,2.85,1
645,gm3708,A186,954,2.55,1
646,gm9435,A14,944,2.2,0
647,gm9101,A47,628,2.23,1
648,gm6096,A94,245,2.45,0
649,gm3088,A23,576,2.62,1
650,gm5402,A26,217,2.11,0
651,gm4949,A76,241,2.09,0
652,gm5186,A172,178,2.35,1
653,gm3059,A26,538,2.09,1
654,gm8225,A148,926,2.41,0
655,gm1027,A177,445,2.31,1
656,gm7592,A161,187,2.32,1
657,gm5952,A159,946,2.97,1
658,gm4594,A175,877,2.68,0
659,gm6847,A11,469,2.71,1
660,gm7038,A119,332,2.83,1
661,gm815,A121,603,2.04,0
662,gm6676,A63,169,2.14,0
663,gm3457,A88,733,2.88,1
664,gm2698,A188,266,2.97,1
665,gm7839,A9,965,2.04,1
666,gm6312,A64,368,2.32,1
667,gm3759,A156,99,2.31,0
668,gm623,A198,362,2.68,1
669,gm4257,A38,885,2.23,1
670,gm4846,A118,401,2.75,1
671,gm1590,A173,813,2.91,0
672,gm4978,A91,684,2.18,0
673,gm4741,A35,618,2.55,1
674,gm6276,A179,466,2.68,0
675,gm1644,A3,748,2.67,1
676,gm4919,A151,189,2.18,1
677,gm2494,A144,21,2.95,0
678,gm833,A46,294,2.15,1
679,gm5229,A64,178,2.73,1
680,gm2473,A120,769,2.67,1
681,gm2690,A31,192,2.42,0
682,gm9075,A175,747,2.18,0
683,gm7894,A7,781,2.18,0
684,gm2935,A189,602,2.58,0
685,gm2352,A16,463,2.82,0
686,gm3488,A91,720,2.77,1
687,gm9574,A153,475,2.27,0
688,gm4480,A4,228,2.14,1
689,gm2496,A64,333,2.53,1
690,gm4368,A63,679,2.85,0
691,gm8253,A143,952,2.03,1
692,gm3688,A24,754,2.9,0
693,gm578,A44,640,2.11,1
694,gm5823,A86,569,2.97,0
695,gm1481,A77,430,2.3,0
696,gm9893,A64,804,2.7,1
697,gm4863,A110,530,2.65,1
698,gm7831,A160,754,2.11,0
699,gm8431,A101,73,2.02,1
700,gm1735,A56,488,2.87,1
701,gm9514,A93,509,2.66,0
702,gm2150,A86,572,2.69,1
703,gm9375,A82,637,2.89,1
704,gm5007,A141,83,2.28,1
705,gm5425,A59,338,2.29,0
706,gm748,A91,60,2.27,1
707,gm1989,A151,45,2.68,1
708,gm9871,A106,184,2.74,1
709,gm9421,A183,521,2.86,1
710,gm3509,A73,516,2.98,1
711,gm1672,A37,187,2.28,1
712,gm1696,A92,911,2.93,1
713,gm2770,A61,403,2.47,1
714,gm8422,A176,996,2.09,1
715,gm1711,A30,616,2.29,1
716,gm471,A38,240,2.27,0
717,gm2970,A96,146,2.19,0
718,gm8434,A28,112,2.02,1
719,gm5919,A37,141,2.9,0
720,gm2808,A155,464,2.08,0
721,gm6389,A108,696,2.76,0
722,gm9739,A65,37,2.09,1
723,gm2966,A32,368,2.21,1
724,gm4316,A75,712,2.97,0
725,gm9948,A172,498,2.4,1
726,gm5431,A89,273,2.41,1
727,gm9600,A6,446,2.2,0
728,gm6856,A129,603,2.86,1
729,gm3137,A79,245,2.83,0
730,gm2561,A186,924,2.84,0
731,gm4292,A30,894,2.36,1
732,gm3238,A59,875,2.52,1
733,gm3146,A113,504,2.63,1
734,gm4049,A176,269,2.59,0
735,gm3166,A29,469,2.53,1
736,gm1492,A121,588,2.97,1
737,gm8356,A58,604,2.53,0
738,gm6498,A146,60,2.02,0
739,gm2785,A112,316,2.45,1
740,gm5724,A36,660,2.53,1
741,gm7696,A145,140,2.87,1
742,gm9122,A176,965,2.37,0
743,gm7359,A51,948,2.02,1
744,gm9624,A53,539,2.79,0
745,gm3518,A9,387,2.61,1
746,gm5573,A79,862,2.34,1
747,gm1931,A19,248,2.29,1
748,gm439,A180,435,2.94,0
749,gm1380,A138,471,2.83,1
750,gm9964,A83,687,2.63,1
751,gm739,A161,526,2.34,1
752,gm947,A102,999,2.03,1
753,gm6088,A151,117,2.63,0
754,gm7812,A157,888,2.13,0
755,gm6928,A158,793,2.23,0
756,gm1267,A192,320,2.71,1
757,gm7129,A77,251,2.71,0
758,gm8853,A131,507,2.06,0
759,gm7858,A11,375,2.59,1
760,gm3296,A65,72,2.89,1
761,gm6743,A65,418,2.69,0
762,gm4783,A186,417,2.91,0
763,gm9395,A62,367,2.06,1
764,gm9884,A172,493,2.67,0
765,gm1022,A63,85,2.27,0
766,gm700,A169,759,2.67,0
767,gm6109,A20,917,2.72,0
768,gm2927,A88,230,2.91,0
769,gm249,A99,665,2.92,1
770,gm4518,A114,24,2.44,0
771,gm2114,A76,979,2.7,0
772,gm8968,A164,302,2.01,0
773,gm9669,A56,835,2.14,0
774,gm4852,A63,743,2.85,0
775,gm8067,A56,76,2.03,1
776,gm8690,A54,687,2.59,1
777,gm8639,A198,394,2.18,0
778,gm3071,A51,65,2.62,0
